Date 		| Time 		| Blue Shrooms 	| Blue Bets | Red Shrooms 	| Red Bets 	| My Shrooms    | My Team 	| Winner
2019-04-17	| 10:46AM	| 20828  		| 23 		| 23243  		| 13 		| 801     		| blue 		| blue
2019-04-17	| 11:21AM	| 63396  		| 25 		| 14344  		| 21 		| 700     		| red 		| red
2019-04-17	| 11:57AM	| 28038  		| 28 		| 14288  		| 14 		| 700     		| red 		| red
2019-04-17	| 12:19PM	| 12012  		| 19 		| 31552  		| 18 		| 700     		| blue 		| blue
2019-04-17	| 12:54PM	| 33776  		| 33 		| 33445  		| 16 		| 947     		| blue 		| red
2019-04-17	| 01:31PM	| 17666  		| 17 		| 49998  		| 37 		| 808     		| blue 		| red
2019-04-17	| 02:06PM	| 37971  		| 24 		| 70200  		| 17 		| 700     		| red 		| red
2019-04-17	| 04:47PM	| 22911  		| 17 		| 18497  		| 16 		| 867     		| red 		| red
2019-04-17	| 05:49PM	| 65439  		| 32 		| 15489  		| 13 		| 214     		| red 		| blue
2019-04-17	| 06:49PM	| 41667  		| 35 		| 113613  		| 9 		| 1000     		| blue 		| blue
2019-04-17	| 07:29PM	| 92064  		| 35 		| 25927  		| 16 		| 1000     		| red 		| red
2019-04-17	| 07:54PM	| 30769  		| 23 		| 81249  		| 23 		| 1000     		| blue 		| blue
2019-04-17	| 08:19PM	| 3986912  		| 15 		| 41869  		| 21 		| 977     		| red 		| blue
2019-04-17	| 08:28PM	| 21201  		| 13 		| 73681  		| 34 		| 801     		| blue 		| blue
2019-04-17	| 09:08PM	| 62138  		| 19 		| 65197  		| 32 		| 1102     		| red 		| red
2019-04-19	| 06:36PM	| 12031  		| 14 		| 46317  		| 27 		| 800     		| blue 		| red
2019-04-19	| 07:01PM	| 35854  		| 17 		| 27869  		| 23 		| 1431     		| red 		| red
2019-04-19	| 07:46PM	| 11174  		| 11 		| 47237  		| 20 		| 1187     		| blue 		| blue
2019-04-19	| 08:34PM	| 8363  		| 10 		| 88593  		| 30 		| 1105     		| blue 		| red
2019-04-19	| 09:56PM	| 38801  		| 18 		| 19181  		| 14 		| 1345     		| blue 		| red
2019-04-19	| 10:25PM	| 13500  		| 7 		| 57961  		| 23 		| 1250     		| blue 		| red
2019-04-19	| 11:00PM	| 42123  		| 18 		| 18134  		| 13 		| 1213     		| red 		| red
2019-04-19	| 11:37PM	| 26335  		| 11 		| 36912  		| 17 		| 1213     		| red 		| red
2019-04-20	| 12:24AM	| 78167  		| 24 		| 36406  		| 14 		| 1611     		| red 		| red
2019-04-20	| 12:51AM	| 55439  		| 21 		| 4969  		| 9 		| 994     		| red 		| blue
2019-04-20	| 01:29AM	| 30243  		| 22 		| 27928  		| 19 		| 1476     		| red 		| blue
2019-04-20	| 08:48AM	| 150251  		| 25 		| 11380  		| 11 		| 1160     		| red 		| blue
2019-04-20	| 02:29PM	| 28604  		| 11 		| 47344  		| 35 		| 1173     		| blue 		| red
2019-04-20	| 02:58PM	| 52223  		| 28 		| 29591  		| 21 		| 1132     		| red 		| red
2019-04-20	| 03:34PM	| 45062  		| 26 		| 24112  		| 18 		| 1015     		| red 		| blue
2019-04-20	| 04:02PM	| 35494  		| 25 		| 42406  		| 22 		| 1283     		| blue 		| red
2019-04-20	| 04:29PM	| 16828  		| 15 		| 47281  		| 15 		| 932     		| blue 		| blue
2019-04-20	| 05:36PM	| 83981  		| 33 		| 18054  		| 10 		| 960     		| red 		| blue
2019-04-20	| 06:02PM	| 38869  		| 21 		| 90070  		| 38 		| 1262     		| blue 		| red
2019-04-20	| 06:34PM	| 349405  		| 30 		| 37816  		| 18 		| 1041     		| red 		| blue
2019-04-20	| 10:00PM	| 38063  		| 17 		| 16242  		| 11 		| 718     		| red 		| red
2019-04-20	| 10:23PM	| 9999  		| 13 		| 19161  		| 13 		| 554     		| blue 		| blue
2019-04-20	| 11:03PM	| 4171  		| 9 		| 20501  		| 14 		| 366     		| blue 		| red
2019-04-20	| 11:29PM	| 4393  		| 10 		| 14386  		| 10 		| 374     		| blue 		| red
2019-04-20	| 11:53PM	| 34225  		| 18 		| 8616  		| 13 		| 513     		| red 		| blue
2019-04-21	| 12:23AM	| 30950  		| 17 		| 25980  		| 18 		| 872     		| blue 		| blue
2019-04-21	| 12:38AM	| 19800  		| 9 		| 18184  		| 15 		| 756     		| red 		| red
2019-04-21	| 01:23AM	| 28070  		| 16 		| 13987  		| 14 		| 580     		| blue 		| blue
2019-04-21	| 01:47AM	| 49173  		| 20 		| 5581  		| 8 		| 402     		| red 		| blue
2019-04-21	| 02:18AM	| 36136  		| 20 		| 14088  		| 9 		| 623     		| red 		| blue
2019-04-21	| 02:47AM	| 58767  		| 17 		| 20937  		| 16 		| 811     		| red 		| red
2019-04-21	| 07:20AM	| 41410  		| 24 		| 18307  		| 15 		| 966     		| red 		| blue
2019-04-21	| 07:42AM	| 52945  		| 28 		| 21293  		| 14 		| 952     		| red 		| blue
2019-04-21	| 08:24AM	| 38381  		| 11 		| 39869  		| 20 		| 1276     		| red 		| red
2019-04-21	| 08:59AM	| 34272  		| 20 		| 75775  		| 25 		| 1248     		| blue 		| red
2019-04-21	| 09:30AM	| 53181  		| 28 		| 33550  		| 15 		| 1257     		| red 		| blue
2019-04-21	| 09:52AM	| 35154  		| 14 		| 29424  		| 14 		| 1160     		| red 		| red
2019-04-21	| 10:39AM	| 177528  		| 39 		| 7790  		| 10 		| 262     		| red 		| blue
2019-04-21	| 10:54AM	| 5999  		| 10 		| 246935  		| 37 		| 323     		| blue 		| red
2019-04-21	| 11:15AM	| 8898  		| 15 		| 137895  		| 29 		| 403     		| blue 		| red
2019-04-21	| 11:38AM	| 12782  		| 14 		| 61486  		| 23 		| 317     		| blue 		| red
2019-04-21	| 12:14PM	| 69185  		| 38 		| 10148  		| 12 		| 458     		| red 		| blue
2019-04-21	| 12:42PM	| 44761  		| 30 		| 50496  		| 26 		| 1007     		| red 		| red
2019-04-21	| 01:08PM	| 56408  		| 27 		| 39213  		| 25 		| 954     		| red 		| red
2019-04-21	| 01:31PM	| 60463  		| 20 		| 29570  		| 19 		| 812     		| red 		| red
2019-04-21	| 03:13PM	| 30999  		| 20 		| 122864  		| 40 		| 882     		| blue 		| red
2019-04-21	| 03:35PM	| 36683  		| 21 		| 33825  		| 28 		| 864     		| blue 		| red
2019-04-21	| 04:03PM	| 72243  		| 41 		| 25479  		| 21 		| 754     		| red 		| blue
2019-04-21	| 04:21PM	| 31517  		| 29 		| 36756  		| 24 		| 788     		| blue 		| red
2019-04-21	| 05:00PM	| 57831  		| 29 		| 26083  		| 17 		| 811     		| red 		| red
2019-04-21	| 05:33PM	| 51898  		| 19 		| 104309  		| 28 		| 1075     		| red 		| red
2019-04-21	| 06:06PM	| 596236  		| 28 		| 10900  		| 14 		| 477     		| red 		| red
2019-04-21	| 06:56PM	| 205083  		| 36 		| 5487  		| 10 		| 277     		| red 		| blue
2019-04-21	| 07:14PM	| 118153  		| 29 		| 40672  		| 21 		| 1055     		| red 		| red
2019-04-21	| 07:36PM	| 73152  		| 25 		| 16651  		| 8 		| 628     		| red 		| red
2019-04-21	| 08:00PM	| 49627  		| 28 		| 22833  		| 14 		| 387     		| red 		| blue
2019-04-21	| 08:31PM	| 32929  		| 18 		| 41417  		| 15 		| 789     		| blue 		| blue
2019-04-21	| 09:06PM	| 42095  		| 19 		| 12845  		| 10 		| 466     		| red 		| red
2019-04-21	| 09:48PM	| 72934  		| 20 		| 3966  		| 10 		| 250     		| red 		| red
2019-04-21	| 11:52PM	| 14024  		| 15 		| 63511  		| 23 		| 744     		| blue 		| red
2019-04-22	| 12:16AM	| 16089  		| 14 		| 29781  		| 9 		| 814     		| blue 		| blue
2019-04-22	| 01:00AM	| 47954  		| 17 		| 19412  		| 11 		| 891     		| red 		| red
2019-04-22	| 01:35AM	| 20896  		| 8 		| 31289  		| 12 		| 923     		| blue 		| red
2019-04-22	| 02:01AM	| 122442  		| 23 		| 23055  		| 10 		| 968     		| red 		| red
2019-04-22	| 02:12AM	| 5423  		| 8 		| 119676  		| 24 		| 510     		| blue 		| red
2019-04-22	| 02:28AM	| 75168  		| 21 		| 19462  		| 9 		| 883     		| red 		| blue
2019-04-22	| 03:03AM	| 11017  		| 15 		| 26805  		| 13 		| 669     		| blue 		| red
